adult,banknote,boston,breast_cancer,Demographics,digits5,gdp,GenderRecognition,IBM_HR,insurance,iris,liver,load_diabetes,load_wine,magic,make_friedman1,make_friedman2,make_friedman3,mobile_prices,red_wine_quality,suicide_rates_cleaned,telco_churn,tic-tac-toe,titanic,used_cars,videogamesales,wage,who_life_expectancy,world_happiness_indicator
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,3,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,4,3,3,3
4,4,3,4,4,3,4,4,4,4,4,3,3,3,4,3,3,4,3,3,3,4,3,3,3,4,3,4,4
3,4,3,3,4,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,3,4,3,4,3,4,3,4,4
4,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,4,4,4,4
4,4,3,4,4,4,4,4,4,3,3,4,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,4
4,4,4,4,3,4,4,3,3,3,3,4,3,3,3,4,4,4,4,3,4,3,3,4,4,3,4,3,4
3,4,4,3,4,4,4,3,3,3,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,4,4,4,4,4,4,3,4,3,3,4,3,3,4,4,4,4,3,3,4,3,4,4,3,4,4
3,4,4,4,4,3,4,3,3,3,3,3,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4
4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4
4,3,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4
3,4,4,4,3,4,4,4,3,4,4,3,3,4,4,3,3,4,4,4,3,4,4,4,4,3,3,4,4
4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4
4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4
3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4
4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4
4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,3,3,4,4,3,4,3,4,4,4
4,3,4,3,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4
4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4
4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3
4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4
