adult,banknote,boston,breast_cancer,Demographics,digits5,gdp,GenderRecognition,IBM_HR,insurance,iris,liver,load_diabetes,load_wine,magic,make_friedman1,make_friedman2,make_friedman3,mobile_prices,red_wine_quality,suicide_rates_cleaned,telco_churn,tic-tac-toe,titanic,used_cars,videogamesales,wage,who_life_expectancy,world_happiness_indicator
0.827950671,0.842283402,60.96968083,0.597177745,5.939884768,0.321278872,0.218163265,0.549397662,0.978601578,54993704.32,0.849231977,0.956385707,4271.175773,0.658815408,0.907714702,18.24634168,92503.07544,0.068383574,0.42285,0.616311459,253.9697645,0.933682385,0.910961644,0.862318255,53817773.96,2.415234524,1025647906,35.78244903,1.183351659
0.825268614,0.853158884,34.83370225,0.567501601,5.30005163,0.276684714,0.222701547,0.559343756,0.979263561,54993704.32,0.855694695,0.945443398,3434.452095,0.591876513,0.904730165,17.69279193,92010.18009,0.064255657,0.414892966,0.532659199,231.9094741,0.935938095,0.911488092,0.870380817,27897565.14,2.405143615,911428835.7,26.16997332,1.171521474
0.790406346,0.838817028,34.19048137,0.55654033,5.034711943,0.212146842,0.222701547,0.543410751,0.97771579,25599814.9,0.855697773,0.937385031,3337.426666,0.579566542,0.901735377,13.57357214,91916.78694,0.054877192,0.414892966,0.485649305,223.7374114,0.936727252,0.90031335,0.865242171,27496848.15,2.403924338,906125245.5,24.4124527,1.181985501
0.788942913,0.838056567,33.54787544,0.554223627,5.035601706,0.204958458,0.222701547,0.541714882,0.978270156,25601914.24,0.61324208,0.932686698,3262.830145,0.569323678,0.901734902,11.99791132,51987.4059,0.053182709,0.391477556,0.483907388,220.5513167,0.940309613,0.903041839,0.869413369,25608684.26,2.403923744,856946804.7,24.4124527,1.134638928
0.788407427,0.843666949,28.94726025,0.545362419,4.889497527,0.204569926,0.209077943,0.541604365,0.978653061,48587824.91,0.604004088,0.919348714,3092.110049,0.567637196,0.899975851,9.411977317,51984.57127,0.053182548,0.383284572,0.483824543,209.8217186,0.942507673,0.897064836,0.874635878,25287492.94,2.404173232,781741791,24.4124527,1.136271613
0.788407343,0.842766331,26.12332272,0.545436347,4.674663693,0.192952293,0.21607071,0.541241616,0.978332057,39927531.1,0.601057797,0.917441587,3072.94244,0.556227065,0.899888751,7.804134906,40964.12707,0.050348995,0.373253008,0.483824543,209.3482104,0.943992118,0.89633409,0.870568761,23831905.27,2.40475558,775693623.3,20.8207816,1.141269037
0.788407343,0.846177123,26.10366479,0.544322161,4.440641758,0.186172084,0.213788892,0.537868669,0.978023095,37605670.43,0.601058149,0.913181407,3063.749332,0.535865827,0.899952813,7.364693011,37324.31436,0.049845136,0.368452456,0.482148129,206.7409028,0.940609695,0.886160449,0.873585208,22404254.14,2.402851536,752392875.5,21.79922505,1.151513597
0.787261969,0.842151269,21.41452768,0.540099027,4.439783028,0.180487416,0.218226862,0.537855063,0.978347377,37338581.85,0.601044979,0.913183671,2933.27257,0.551269344,0.898973184,7.784292215,37325.05443,0.050050216,0.368635499,0.468073358,206.4241929,0.942930263,0.881194477,0.88157747,22406871.12,2.399513684,749774086.9,19.95840037,1.149180829
0.785744894,0.848420859,21.41048195,0.537655119,4.43219013,0.177548908,0.218226862,0.537847882,0.978606455,37067604.18,0.641000759,0.893050589,3019.191996,0.534050412,0.8999511,7.810914985,37313.94453,0.047784321,0.267317291,0.470391173,206.5726211,0.939968103,0.875686561,0.880569095,22991703.42,2.401970495,743612008.4,21.21578251,1.144559037
0.784480397,0.849221667,23.84485084,0.535533082,4.432184573,0.171769178,0.221215143,0.537788435,0.978502108,36968578.53,0.601030925,0.886984375,2888.326746,0.522573,0.899826726,7.35106563,37326.33794,0.048974675,0.271402875,0.466310403,200.7121284,0.94173824,0.875685967,0.877345863,21106979.16,2.399964017,736584469.1,19.9581196,1.144363973
