dataset,mwg_boosting_,gpe_boosting_,xgb_keep_,orth_fc_Newton-CG,mwg_boosting_,gpe_boosting_,xgb_keep_,orth_fc_Newton-CG,mwg_boosting_,gpe_boosting_,xgb_keep_,orth_fc_Newton-CG,mwg_boosting_,gpe_boosting_,xgb_keep_,orth_fc_Newton-CG,,,,,,,,,,,,,,,,
titanic,52,51,51,52,0.652599922,0.628401975,0.639993228,0.609662296,0.070555276,22.4,0.639035664,0.568480388,0.17956867,2.4,1,0.82043133,0.17956867,2.4,1,0.82043133,2.16E-07,2.4,0.82043133,0.820431114,0.033593751,8.2,0.667202429,0.633608677,0.013401752,16.4,0.61759496,0.604193208
tic-tac-toe,52,54,50,52,0.75105153,0.579701215,0.641205769,0.603745148,0.175385213,23.4,0.746105046,0.570719833,-1.40E-07,2.4,0.868880897,0.868881037,0.107290809,23.4,0.678010642,0.570719833,0.06959827,1.4,1,0.93040173,0.069391203,25.4,0.570719833,0.50132863,0.046846531,10.4,0.774522051,0.72767552
iris,50,55,51,50,0.234967507,0.272141033,0.312985801,0.215552687,0.075462578,13.4,0.278981936,0.203519358,0.416942466,8.2,0.670670212,0.253727746,0.475123479,8.2,0.728851225,0.253727746,0.037903636,17.4,0.203519358,0.165615722,0.120139058,4.2,0.79080927,0.670670212,0.061958045,4.2,0.79080927,0.728851225
breast_cancer,51,51,51,50,0.272842199,0.304753841,0.314103483,0.291588466,0.011204221,27.4,0.193747584,0.182543363,0.044425075,27.4,0.226968438,0.182543363,0.079684408,9.4,0.402971776,0.323287369,0.228038683,7.2,0.573055133,0.345016449,0.000100042,15.4,0.265106523,0.265006481,0.035511728,20.4,0.265106523,0.229594794
load_wine,50,55,53,50,0.161899721,0.177589635,0.191526072,0.146219694,0.184810192,6.2,0.404468364,0.219658171,0.328820949,2.4,1,0.671179051,0.328820949,2.4,1,0.671179051,0.266710687,5.2,0.671179051,0.404468364,0.105515499,3.2,0.671179051,0.565663552,0.053200596,3.2,0.671179051,0.617978455
IBM_HR,50,54,50,53,0.566970016,0.55862576,0.565315078,0.556917445,0.012882719,6.2,0.590631788,0.577749069,0.010898357,10.4,0.580837656,0.569939298,0.03664774,3.2,0.627983692,0.591335952,0.00238113,21.4,0.552886611,0.550505481,0.006812795,21.4,0.552886611,0.546073816,0.004844029,20.4,0.552886611,0.548042582
GenderRecognition,49,51,51,37,0.995838693,0.99550785,0.995927978,0.001076816,0.001628278,2.4,0.99982025,0.998191972,-4.00E-05,2.4,0.998151977,0.998191972,0.000526411,24.4,0.995497891,0.99497148,0.000264059,3.2,0.998191972,0.997927912,0.000343983,29.4,0.994756204,0.994412222,-0.00011161,11.4,0.997019532,0.997131142
banknote,52,52,53,52,0.302984228,0.259239686,0.288154903,0.227202582,0.142422787,18.4,0.28120554,0.138782753,0.116555142,14.4,0.320188834,0.203633693,0.120313495,18.4,0.259096248,0.138782753,0.04143401,8.2,0.430227747,0.388793737,5.34E-06,5.2,0.430227747,0.430222403,0.022944307,9.4,0.430227747,0.40728344
liver,51,54,53,54,0.808930368,0.770096237,0.787370061,0.777044679,0.065789412,28.4,0.784626372,0.71883696,0.057999696,4.2,1,0.942000304,0.063108099,14.4,0.869322415,0.806214316,0.062231681,8.2,0.942000304,0.879768623,0.055106103,26.4,0.760456372,0.705350269,0.034432183,26.4,0.760456372,0.726024189
magic,51,53,55,50,0.71968211,0.706278489,0.710320478,0.706559045,0.042380648,8.2,0.755666211,0.713285564,0.002541035,8.2,0.715826599,0.713285564,0.01920404,18.4,0.708955965,0.689751925,0.031130503,4.2,0.804558094,0.773427591,0.015233279,13.4,0.713285564,0.698052285,0.004329599,13.4,0.713285564,0.708955965
