PostCode,CustomerClass,ServiceConnections
78726,Commercial,61
78732,Commercial,9
78703,Multi-Family,327
78739,Commercial,20
78754,Commercial,232
78728,Multi-Family,23
78735,Residential,2752
78756,Residential,2368
78717,Commercial,106
78752,Commercial,379
78747,Commercial,25
78751,Multi-Family,316
78754,Austin Water Utility,1
78751,Residential,3677
78741,City of Austin,13
78750,Residential,7840
78759,Commercial,471
78714,Commercial,1
78701,Large Volume,1
78703,City of Austin,21
78704,Residential,9736
78660,Multi-Family,8
78725,Residential,643
78681,Commercial,3
78749,Residential,10253
78746,Commercial,114
78739,Multi-Family,1
78653,Residential,351
78701,Commercial,966
78726,Multi-Family,13
78660,Wholesale (MUD),1
78729,City of Austin,3
78744,Commercial,406
78731,City of Austin,8
78735,Commercial,158
78728,Residential,1224
78617,Commercial,47
78705,City of Austin,10
78719,Residential,47
78744,Residential,9258
78721,Austin Water Utility,1
78746,Wholesale (MUD),1
78742,Multi-Family,5
78753,Residential,7600
78613,Multi-Family,7
78754,City of Austin,4
78742,Residential,121
78744,Austin Water Utility,1
78703,Commercial,474
78725,Multi-Family,2
78752,City of Austin,6
78759,Multi-Family,135
78749,Multi-Family,41
78723,Commercial,419
78757,Commercial,657
78721,City of Austin,15
78724,Multi-Family,23
78741,Large Volume,2
78753,Commercial,593
78730,Commercial,58
78717,Multi-Family,23
78660,Residential,1590
78721,Residential,3229
78730,Residential,1216
78719,Commercial,40
78721,Multi-Family,57
78748,City of Austin,4
78757,City of Austin,9
78701,City of Austin,30
78735,City of Austin,1
78727,Multi-Family,135
78730,Multi-Family,8
78756,Multi-Family,131
78745,Wholesale (MUD),1
78742,Commercial,18
78757,Residential,7549
78617,Austin Water Utility,1
78737,Residential,253
78745,Wholesale,4
78746,Austin Water Utility,1
78652,Residential,763
78759,Residential,9351
78729,Multi-Family,130
78744,City of Austin,20
78747,Multi-Family,26
78745,Multi-Family,325
78736,Commercial,23
78756,City of Austin,5
78704,City of Austin,26
78719,City of Austin,17
78703,Residential,5969
78750,Commercial,167
78723,Multi-Family,221
78722,City of Austin,5
78705,Commercial,561
78712,Large Volume,14
78758,Commercial,691
78728,Commercial,60
78756,Austin Water Utility,1
78732,Wholesale (MUD),1
78712,Commercial,15
78735,Multi-Family,42
78746,Residential,4135
78745,City of Austin,11
78741,Multi-Family,313
78726,Wholesale (MUD),1
78717,City of Austin,1
78729,Residential,3512
78731,Commercial,269
78754,Residential,4639
78758,Multi-Family,197
78717,Residential,5393
78653,Multi-Family,1
78747,Residential,4832
78748,Residential,13889
78710,Commercial,1
78758,Residential,8089
78717,Austin Water Utility,1
78741,Residential,4354
78653,Commercial,10
78745,Residential,16401
78753,Austin Water Utility,1
78705,Residential,1815
78704,Austin Water Utility,1
78723,City of Austin,16
78725,Commercial,28
78725,Large Volume,1
78617,Multi-Family,8
78617,City of Austin,2
78701,Residential,177
78652,Commercial,5
78751,City of Austin,5
78702,Commercial,860
78727,City of Austin,3
78746,Multi-Family,70
78750,City of Austin,8
78613,Commercial,82
78722,Residential,2039
78746,Wholesale,1
78617,Residential,2983
78723,Residential,8245
78757,Multi-Family,233
78724,Residential,3544
78727,Residential,6778
78749,City of Austin,5
78702,Residential,6475
78704,Multi-Family,786
78719,Multi-Family,4
78727,Commercial,215
78766,Commercial,1
78758,City of Austin,13
78724,Commercial,66
78735,Wholesale,3
78660,Commercial,119
78752,Multi-Family,188
78705,Multi-Family,487
78701,Multi-Family,91
78749,Commercial,172
78737,Commercial,8
78744,Multi-Family,87
78741,Commercial,318
78721,Commercial,135
78722,Multi-Family,119
78732,Residential,2
78726,City of Austin,1
78733,Residential,3
78731,Multi-Family,142
78752,Residential,2776
78759,City of Austin,4
78704,Commercial,967
78702,Austin Water Utility,1
78754,Large Volume,1
78753,City of Austin,4
78701,Austin Water Utility,1
78751,Commercial,370
78739,City of Austin,1
78753,Multi-Family,179
78722,Commercial,196
78748,Commercial,272
78748,Multi-Family,44
78702,Multi-Family,178
78653,Wholesale (MUD),1
78705,Large Volume,3
78745,Commercial,737
78702,City of Austin,48
78732,Austin Water Utility,2
78652,Multi-Family,1
78742,City of Austin,1
78750,Multi-Family,51
78739,Wholesale,1
78746,City of Austin,6
78735,Large Volume,1
78736,Residential,1436
78724,City of Austin,4
78752,Austin Water Utility,1
78728,Wholesale (MUD),1
78736,Multi-Family,18
78739,Residential,5300
78725,City of Austin,1
78731,Residential,7690
78726,Residential,2342
78729,Commercial,209
78755,Commercial,1
78756,Commercial,437
78754,Multi-Family,23
78729,Wholesale (MUD),1
