Name,Population,WHO_Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,,
Afghanistan,39835428,5,187442,481.505,1693,4.349,396,7752,19.914,4,0.01,0,,#REF!
Albania,2811666,3,314770,10937.869,0,0,0,3543,123.115,0,0,0,,#REF!
Algeria,44616626,6,268254,611.739,800,1.824,113,6878,15.685,2,0.005,0,,#REF!
American Samoa,55103,4,7952,14406.58,0,0,0,33,59.786,0,0,0,,#REF!
Andorra,77354,3,45793,59267.456,285,368.86,0,154,199.314,1,1.294,0,,#REF!
Angola,33933611,6,102636,312.284,66,0.201,0,1917,5.833,0,0,0,,#REF!
Anguilla,,1,3620,24130.116,40,266.631,0,10,66.658,0,0,0,,#REF!
Antigua and Barbuda,98728,1,8773,8958.531,0,0,0,144,147.045,0,0,0,,#REF!
Argentina,45808747,1,9560307,21153.099,0,0,0,129369,286.241,0,0,0,,#REF!
Armenia,2968128,3,428648,14465.547,1849,62.398,1849,8637,291.472,2,0.067,2,,#REF!
Aruba,107195,1,42286,39606.242,206,192.945,0,226,211.678,2,1.873,0,,#REF!
Australia,25739256,4,9588977,37604.002,176503,692.172,0,12200,47.843,354,1.388,0,,#REF!
Austria,8956279,3,4838882,54362.962,44333,498.064,4707,20435,229.579,49,0.55,1,,#REF!
Azerbaijan,10145212,3,801939,7909.312,3101,30.584,469,9760,96.26,12,0.118,0,,#REF!
Bahamas,396914,1,36745,9344.071,21,5.34,0,822,209.031,0,0,0,,#REF!
Bahrain,1748295,5,662814,38952.97,3167,186.122,408,1511,88.8,2,0.118,0,,#REF!
Bangladesh,166303494,2,2007335,1218.861,1729,1.05,0,29304,17.793,12,0.007,0,,#REF!
Barbados,287708,1,92841,32306.568,946,329.187,0,495,172.249,2,0.696,0,,#REF!
Belarus,9340314,3,994037,10519.666,0,0,0,7118,75.328,0,0,0,,#REF!
Belgium,11587882,3,4437299,38510.064,11535,100.109,0,32296,280.288,31,0.269,0,,#REF!
Belize,404915,1,67309,16927.631,198,49.795,0,680,171.014,0,0,0,,#REF!
Benin,12451031,6,27316,225.32,0,0,0,163,1.345,0,0,0,,#REF!
Bermuda,63867,1,17356,27870.827,163,261.751,0,148,237.663,4,6.423,0,,#REF!
Bhutan,779900,2,60663,7861.894,116,15.034,0,21,2.722,0,0,0,,#REF!
Bolivia,11832936,1,1052030,9012.491,16437,140.812,0,22080,189.154,24,0.206,0,,#REF!
Bonaire,,1,9109,43552.474,41,196.032,0,30,143.438,0,0,0,,#REF!
