Country,Other names,Population,Continent,Total Cases,Total Deaths,TotalCases//1M pop,TotalDeaths/1M pop,Death percentage
Afghanistan,Afghanistan,40462186,1,177827,7671,4395,190,4.313743132
Albania,Albania,2872296,2,273870,3492,95349,1216,1.275057509
Algeria,Algeria,45236699,3,265691,6874,5873,152,2.587215976
Andorra,Andorra,77481,2,40024,153,516565,1975,0.382270638
Angola,Angola,34654212,3,99194,1900,2862,55,1.915438434
Anguilla,Anguilla,15237,5,2700,9,177200,591,0.333333333
Antigua and Barbuda,Antigua and Barbuda,99348,5,7493,135,75422,1359,1.801681569
Argentina,Argentina,45921761,5,9041124,128065,196881,2789,1.416472111
Armenia,Armenia,2972939,1,422574,8617,142140,2898,2.039169471
Aruba,Aruba,107560,5,34051,212,316577,1971,0.622595518
Australia,Australia,26017767,6,4680816,6384,179908,245,0.136386476
Austria,Austria,9096360,2,3887355,15985,427353,1757,0.411205048
Azerbaijan,Azerbaijan,10299156,1,792061,9697,76905,942,1.224274393
Bahamas,Bahamas,399822,5,33295,788,83275,1971,2.36672173
Bahrain,Bahrain,1804995,1,556241,1471,308168,815,0.264453717
Bangladesh,Bangladesh,167561502,1,1951770,29122,11648,174,1.492081546
Barbados,Barbados,287991,5,59938,375,208125,1302,0.625646501
Belarus,Belarus,9443882,2,965322,6844,102217,725,0.708986224
Belgium,Belgium,11677924,2,3851048,30826,329772,2640,0.800457434
Belize,Belize,410260,5,57289,656,139641,1599,1.14507148
Benin,Benin,12678649,3,26952,163,2126,13,0.604778866
Bermuda,Bermuda,61875,4,12564,128,203055,2069,1.018783827
Bhutan,Bhutan,786480,1,31437,12,39972,15,0.038171581
Bolivia,Bolivia (Plurinational State of),11951714,5,902448,21896,75508,1832,2.426289382
Bosnia and Herzegovina,Bosnia and Herzegovina,3245097,2,375693,15719,115773,4844,4.184001299
Botswana,Botswana,2434708,3,305526,2686,125488,1103,0.879139582
Brazil,Brazil,215204501,5,29999816,660269,139401,3068,2.200910166
British Virgin Islands,British Virgin Islands,30583,5,6155,62,201256,2027,1.007311129
Brunei ,Brunei Darussalam,444812,1,135974,213,305689,479,0.156647594
Bulgaria,Bulgaria,6856886,2,1140679,36568,166355,5333,3.205809873
Burkina Faso,Burkina Faso,21905848,3,20853,382,952,17,1.831870714
Burundi,Burundi,12510155,3,38519,38,3079,3,0.098652613
Cabo Verde,Cabo Verde,566557,3,55960,401,98772,708,0.716583274
Cambodia,Cambodia,17123941,1,135747,3054,7927,178,2.249773476
Cameroon,Cameroon,27701805,3,119544,1927,4315,70,1.611958777
Canada,Canada,38321435,4,3499226,37690,91312,984,1.077095335
CAR,Central 3n Republic,4976719,3,14649,113,2944,23,0.771383712
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",26650,5,8574,33,321726,1238,0.384884535
Cayman Islands,Cayman Islands,67073,5,20606,24,307218,358,0.116470931
Chad,Chad,17250246,3,7308,191,424,11,2.613574165
Channel Islands,Guernsey,176668,2,69036,156,390767,883,0.22596906
Chile,Chile,19403451,5,3486653,56750,179692,2925,1.627635443
China,China,1439323776,1,154738,4638,108,3,2.99732451
Colombia,Colombia,51832231,5,6085926,139660,117416,2694,2.294802796
Comoros,Comoros,902011,3,8093,160,8972,177,1.977017175
Congo,Congo,5755689,3,24071,385,4182,67,1.599435005
Cook Islands,Cook Islands,17592,6,2118,0,120396,0,0
Costa Rica,Costa Rica,5175547,5,839368,8308,162180,1605,0.98979232
Croatia,Croatia,4060951,2,1102730,15601,271545,3842,1.414761546
Cuba,Cuba,11314513,5,1092547,8514,96562,752,0.779279976
Curaçao,Curaçao,165268,5,40671,267,246091,1616,0.656487423
Cyprus,Cyprus,1222745,1,439964,947,359817,774,0.215244884
Czechia,Czech Republic,10743762,2,3830631,39720,356545,3697,1.036904886
Denmark,Denmark,5827911,2,2919428,5762,500939,989,0.19736743
Djibouti,Djibouti,1013146,3,15590,189,15388,187,1.212315587
Dominica,Dominica,72299,5,11891,63,164470,871,0.529812463
Dominican Republic,Dominican Republic,11038333,5,578130,4375,52375,396,0.756750212
Democratic Republic of the Congo,Democratic Republic of the Congo,94323344,3,86748,1337,920,14,1.541245908
Ecuador,Ecuador,18111933,5,859890,35421,47476,1956,4.119247811
Egypt,Egypt,105711844,3,505264,24417,4780,231,4.832523196
El Salvador,El Salvador,6543499,5,161570,4120,24692,630,2.549978338
Equatorial Guinea,Equatorial Guinea,1483588,3,15903,183,10719,123,1.150726278
Eritrea,Eritrea,3632329,3,9728,103,2678,28,1.058799342
Estonia,Estonia,1328097,2,558706,2468,420682,1858,0.441735009
Eswatini,Eswatini,1181191,3,69851,1394,59136,1180,1.995676511
Ethiopia,Ethiopia,119945147,3,469819,7504,3917,63,1.597210841
Faeroe Islands,Faeroe Islands,49188,2,34237,28,696044,569,0.081782866
Falkland Islands,Falkland Islands (Malvinas),3657,5,123,0,33634,0,0
Fiji,Fiji,907817,6,64422,834,70964,919,1.294588805
Finland,Finland,5555788,2,889626,3178,160126,572,0.357228768
France,France,65526369,2,25997852,142506,396754,2175,0.548145285
French Guiana,French Guiana,312224,5,79075,394,253264,1262,0.498261144
French Polynesia,French Polynesia,283751,6,72318,646,254864,2277,0.893276916
Gabon,Gabon,2317612,3,47586,303,20532,131,0.636741899
Gambia,Gambia,2535418,3,11988,365,4728,144,3.044711378
Georgia,Georgia,3975762,1,1649222,16756,414819,4215,1.015994208
Germany,Germany,84252947,2,21646375,130563,256921,1550,0.603163347
Ghana,Ghana,32207812,3,160971,1445,4998,45,0.897677221
Gibraltar,Gibraltar,33673,2,16979,101,504232,2999,0.594852465
Greece,Greece,10333930,2,3077711,27684,297826,2679,0.899499661
Greenland,Greenland,56942,4,11971,21,210231,369,0.175423941
Grenada,Grenada,113436,5,14024,218,123629,1922,1.554478038
Guadeloupe,Guadeloupe,400244,5,130705,843,326563,2106,0.64496385
Guatemala,Guatemala,18495493,5,830745,17325,44916,937,2.085477493
Guinea,Guinea,13755881,3,36459,440,2650,32,1.206835075
Guinea-Bissau,Guinea-Bissau,2049374,3,8151,170,3977,83,2.085633665
Guyana,Guyana,793196,5,63272,1226,79768,1546,1.93766595
Haiti,Haiti,11645833,5,30549,833,2623,72,2.726766834
Honduras,Honduras,10180299,5,421062,10880,41360,1069,2.583942507
Hong Kong,"China, Hong Kong Special Administrative Region",7603455,1,1171422,8172,154064,1075,0.69761367
Hungary,Hungary,9617409,2,1854198,45510,192796,4732,2.454430433
Iceland,Iceland,345120,2,181830,101,526860,293,0.055546389
India,India,1403754381,1,43029044,521388,30653,371,1.211711792
Indonesia,Indonesia,278586508,1,6019981,155288,21609,557,2.579543025
Iran,United Kingdom,85874667,1,7167646,140315,83466,1634,1.95761621
Iraq,Iraq,41801625,1,2320260,25173,55506,602,1.084921517
Ireland,Ireland,5034333,2,1471210,6786,292235,1348,0.461252982
Isle of Man,Isle of Man,85821,2,28416,84,331108,979,0.295608108
Israel,Israel,9326000,1,3943153,10530,422813,1129,0.267045179
Italy,Italy,60306185,2,14846514,159784,246186,2650,1.076239176
Ivory Coast,CÃ´te d'Ivoire,27520953,3,81761,796,2971,29,0.973569306
