Country,GDP,Satisfaction
Australia,50962,7.3
Austria,43724,7
Belgium,40107,6.9
Canada,43332,7.3
Chile,13341,6.7
Czech Republic,17257,6.6
Denmark,52114,7.5
Estonia,17288,5.6
Finland,41974,7.5
France,37675,6.4
Germany,40997,7
Greece,18064,5.2
Hungary,12240,5.3
Iceland,50855,7.5
Ireland,51351,7
Israel,35343,7.2
Italy,29867,5.9
Japan,32486,5.9
Korea,27195,5.9
Latvia,13619,5.9
Luxembourg,101994,6.9
Mexico,9009,6.6
Netherlands,43603,7.4
New Zealand,37045,7.3
Norway,74822,7.5
Poland,12495,6
Portugal,19122,5.2
Slovak Republic,15992,6.1
Slovenia,20732,5.8
Spain,25865,6.4
Sweden,49866,7.3
Switzerland,80675,7.5
Turkey,9437,5.5
United Kingdom,43771,6.7
United States,55805,6.9
