Date,Day,High Temp (F),Low Temp (F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,
4-Jan,6,46,37,0,606,1446,1915,1430,5397,14746.4266
4-Feb,7,62.1,41,0,2021,3943,4207,2862,13033,40599.3736
4-Mar,1,63,50,0.03,2470,4988,5178,3689,16325,52450.82833
4-Apr,2,51.1,46,1.18,723,1913,2279,1666,6581,18548.17893
4-May,3,63,46,0,2807,5276,5711,4197,17991,58562.69997
4-Jun,4,48.9,41,0.73,461,1324,1739,1372,4896,13170.46354
4-Jul,5,48,43,0,1222,2955,3399,2765,10341,31174.59121
4-Aug,6,55.9,39.9,0,1674,3163,4082,2691,11610,35583.70207
4-Sep,7,66,45,0,2375,4377,4886,3261,14899,47277.86793
4-Oct,1,73.9,55,0,3324,6359,6881,4731,21295,70876.67244
4-Nov,2,80.1,62.1,0,3887,7247,8079,5501,24714,83854.19435
4-Dec,3,73.9,57.9,0.02,2565,5633,6620,4537,19355,63616.88191
Apr-13,4,64,48.9,0,3353,6052,6775,4700,20880,69316.97272
Apr-14,5,64.9,48.9,0,2942,5054,5877,5877,18015,58651.25131
Apr-15,6,64.9,52,0,2253,3853,4965,3291,14362,45344.92072
Apr-16,7,84.9,62.1,0,2877,4585,5259,3687,16408,52753.63306
Apr-17,1,73.9,64,0,3152,6352,6924,4658,21086,70090.74175
Apr-18,2,66,50,0,3415,6691,7341,5012,22459,75269.87733
Apr-19,3,52,45,0,1965,4632,5234,3996,15827,50637.88168
Apr-20,4,64.9,50,0.17,1567,3365,4302,3056,12290,37971.59264
Apr-21,5,53.1,48,0.29,1426,3142,3674,2672,10914,33157.55682
Apr-22,6,55.9,52,0.11,1318,2297,2963,2366,8944,26399.50033
Apr-23,7,64.9,46.9,0,2520,4681,5105,3434,15740,50321.85442
Apr-24,1,60.1,50,0,2544,5366,5762,4183,17855,58061.1722
Apr-25,2,54,50,0.91,611,1402,1902,1578,5493,15050.77413
Apr-26,3,59,54,0.34,1247,2774,3429,2369,9819,29380.10843
Apr-27,4,68,59,0,2959,5311,6026,4285,18581,60743.57264
Apr-28,5,82.9,57.9,0,3679,6774,7196,5138,22787,76512.61714
Apr-29,6,84,64,0.06,3315,5605,6045,4078,19043,62457.0006
Apr-30,7,64,54,0,2225,4057,4513,3137,13932,43803.39561
5-Jan,1,72,50,0,3084,6506,6793,4820,21203,70530.60223
5-Feb,2,73.9,66.9,0,3423,7035,7789,5449,23696,79967.29978
5-Mar,3,64.9,57.9,0,3342,6984,7445,4804,22575,75709.14666
5-Apr,4,63,50,0,3019,6525,6922,5144,21610,72062.88951
5-May,5,59,52,3.02,513,1471,1951,1421,5356,14616.67008
5-Jun,6,64.9,57,0.18,1892,3815,5502,3965,15174,48271.01261
5-Jul,7,54,48.9,0.01,3539,3547,4941,3851,15878,50823.23567
5-Aug,1,57,45,0,2886,5812,6249,4432,19379,63706.19448
5-Sep,2,61,48,0,2718,6455,6910,5000,21083,70079.46697
5-Oct,3,70,51.1,0,2810,6396,7075,4980,21261,70748.75678
5-Nov,4,61,51.8,0,2657,6179,6750,5139,20725,68735.34933
5-Dec,5,62.1,51.1,0,2640,5367,6325,4692,19024,62386.43815
May-13,6,51.1,45,1.31,151,484,874,865,2374,5640.391217
May-14,7,64.9,46,0.02,1452,2704,3320,2389,9865,29537.76779
May-15,1,66.9,55.9,0,2685,5865,5981,4550,19081,62598.15019
May-16,2,78.1,57.9,0,3666,7847,8420,6209,26142,89337.07118
May-17,3,90,66,0,3535,7888,8540,6121,26084,89113.70441
May-18,4,91.9,75,0,3190,6886,7645,5753,23474,79122.16159
May-19,5,90,75.9,0,2952,6432,6859,5272,21515,71704.93015
May-20,6,64,55.9,0.01,2161,3896,5198,3910,15165,48238.47522
May-21,7,66.9,55,0,2612,4656,5634,3782,16684,53761.85622
May-22,1,61,54,0.59,768,1633,2116,1609,6126,17075.24626
May-23,2,68,57.9,0,3174,6715,7011,4899,21799,72775.57882
May-24,3,66.9,57,0.04,2969,6005,6872,4344,20190,66731.70228
May-25,4,57.9,55.9,0.58,488,1196,1789,1316,4789,12836.69252
May-26,5,73,55.9,0.1,2590,4563,5344,3642,16139,51772.9208
