id,age,smoke,pop,dead,dead_per_100
1,1,0,656,18,2.743902439
2,2,0,359,22,6.128133705
3,3,0,249,19,7.630522088
4,4,0,632,55,8.702531646
5,5,0,1067,117,10.96532334
6,6,0,897,170,18.95206243
7,7,0,668,179,26.79640719
8,8,0,361,120,33.24099723
9,9,0,274,120,43.79562044
10,1,1,145,2,1.379310345
11,2,1,104,4,3.846153846
12,3,1,98,3,3.06122449
13,4,1,372,38,10.21505376
14,5,1,846,113,13.356974
15,6,1,949,173,18.22971549
16,7,1,824,212,25.72815534
17,8,1,667,243,36.43178411
18,9,1,537,253,47.11359404
19,1,2,4531,149,3.288457294
20,2,2,3030,169,5.577557756
21,3,2,2267,193,8.513453904
22,4,2,4682,576,12.30243486
23,5,2,6052,1001,16.53998678
24,6,2,3880,901,23.22164948
25,7,2,2033,613,30.15248401
26,8,2,871,337,38.69115959
27,9,2,345,189,54.7826087
28,1,3,3410,124,3.636363636
29,2,3,2239,140,6.252791425
30,3,3,1851,187,10.10264722
31,4,3,3270,514,15.71865443
32,5,3,3791,778,20.52228963
33,6,3,2421,689,28.45931433
34,7,3,1195,432,36.15062762
35,8,3,436,214,49.08256881
36,9,3,113,63,55.75221239
