COUNTRY,ISO3,Population,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,39835428,1,REPORTING,27/07/2022,8040605,7294709,20.655,18.739,6571487,16.881,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",22/02/2021,11,,
Albania,ALB,2811666,2,REPORTING,24/07/2022,2934116,1330520,102,46.751,1253962,44.061,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",13/01/2021,5,338290,11.887
Algeria,DZA,44616626,3,REPORTING,3/07/2022,15205854,7840131,34.676,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",30/01/2021,4,514063,1.172
American Samoa,ASM,55103,4,REPORTING,24/06/2022,109507,44586,198.393,80.776,41160,74.569,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",21/12/2020,3,23501,42.577
Andorra,AND,77354,2,REPORTING,10/07/2022,153531,57888,198.7,75.991,53460,70.179,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",20/01/2021,3,42183,55.375
Angola,AGO,33933611,3,REPORTING,24/07/2022,21323036,13639803,64.878,41.501,7478983,22.756,SII - Covishield,10/03/2021,1,944797,2.875
Anguilla,AIA,,5,REPORTING,29/07/2022,24060,10837,160.379,72.237,10273,68.478,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",5/02/2021,2,2950,19.664
Antigua and Barbuda,ATG,98728,5,REPORTING,29/07/2022,136185,64176,139.065,65.533,62171,63.486,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",1/03/2021,6,9838,10.046
Argentina,ARG,45808747,5,REPORTING,29/07/2022,107642110,41196842,238.169,91.152,37688633,83.39,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",29/12/2020,7,29075586,64.333
Armenia,ARM,2968128,2,REPORTING,22/05/2022,2150112,1129669,72.6,38.123,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",16/06/2021,8,40725,1.374
