winpercent,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent
66.971725,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001
67.602936,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998
32.261086,One dime,0,0,0,0,0,0,0,0,0,0.011,0.116
46.116505,One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998
52.341465,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998
50.347546,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002
56.914547,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002
23.417824,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998
38.010963,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999
34.517681,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999
38.975037,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998
36.017628,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998
24.524988,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999
42.272076,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998
39.460556,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002
43.088924,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002
39.185505,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999
46.783348,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001
57.11974,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465
34.158958,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465
51.41243,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465
42.178772,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465
55.375454,HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002
62.284481,HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998
