Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,1 Sports,1,2006,1,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,2,1985,2,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart 1,1,2008,3,Nintendo,15.85,12.88,3.79,3.31,35.82
4,1 Sports Resort,1,2009,1,Nintendo,15.75,11.01,3.28,2.96,33
5,Pokemon Red/Pokemon Blue,7,1996,5,Nintendo,11.27,8.89,10.22,1,31.37
6,Tetris,7,1989,6,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,13,2006,2,Nintendo,11.38,9.23,6.5,2.9,30.01
8,1 Play,1,2006,7,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. 1,1,2009,2,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,2,1984,8,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,13,2005,9,Nintendo,9.07,11,1.93,2.75,24.76
12,Mario Kart DS,13,2005,3,Nintendo,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,7,1999,5,Nintendo,9,6.18,7.2,0.71,23.1
14,1 Fit,1,2007,1,Nintendo,8.94,8.03,3.6,2.15,22.72
15,1 Fit Plus,1,2009,1,Nintendo,9.09,8.59,2.53,1.79,22
16,Kinect Adventures!,5,2010,7,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,4,2013,10,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,3,2004,10,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,14,1990,2,Nintendo,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,13,2005,7,Nintendo,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,13,2006,5,Nintendo,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,7,1989,2,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,2,1988,2,Nintendo,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,5,2013,10,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,3,2002,10,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,6,2002,5,Nintendo,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,13,2010,5,Nintendo,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More Training in Minutes a Day,13,2005,6,Nintendo,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,3,2001,3,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,5,2011,8,Activision,9.03,4.28,0.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,7,1998,5,Nintendo,5.89,5.04,3.12,0.59,14.64
32,Call of Duty: Black Ops,5,2010,8,Activision,9.67,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,9,2013,5,Nintendo,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops 3,10,2015,8,Activision,5.77,5.81,0.35,2.31,14.24
